repetitions,threads,64,128,256,512,1024
100,1,2047,6868,25025,91012,452339
100,2,1456,3892,12697,51598,190744
100,4,3645,4283,13170,52867,212314
100,8,15682,18648,47486,72213,225970
500,1,9778,32967,115137,444807,1850372
500,2,6736,18530,60870,233075,951634
500,4,9304,18881,57908,260517,887944
500,8,72091,85484,134918,286210,959949
1000,1,19861,62808,227936,892814,3696708
1000,2,13178,37242,120796,466943,1956354
1000,4,18089,36764,117872,439277,1906886
1000,8,143544,167708,279562,561187,2002861
5000,1,89331,302713,1142628,4457161,18451864
5000,2,62921,171811,602709,2324536,10408499
5000,4,62479,168319,570782,2386927,10162322
5000,8,618195,656665,1139712,2889869,10630289
10000,1,178068,606982,2270038,9194688,36970688
10000,2,119065,341171,1206694,4936502,21137176
10000,4,118653,323371,1139627,4683056,20903843
10000,8,1187471,1489374,2199387,6297472,21600222
50000,1,859486,3001701,11342815,44570859,185134726
50000,2,616575,1786464,6039301,25494580,110368091
50000,4,584731,1610971,6093205,25046134,105283941
50000,8,5645921,7051335,11092452,31364420,110745990
