repetitions,threads,64,128,256,512,1024
100,1,2016,6818,52106,90085,381694
100,2,1660,3965,12995,48265,190584
100,4,1467,4568,12917,58845,192249
100,8,13459,11880,27551,69199,221721
500,1,9955,34199,118537,446598,1884873
500,2,7066,19178,61772,236912,951727
500,4,8831,21382,62829,227510,881252
500,8,75653,85685,123060,299371,930994
1000,1,37334,63464,231200,897745,3774896
1000,2,13537,36768,122491,469701,1900635
1000,4,17058,35274,117160,445480,1780850
1000,8,123122,191125,262043,579492,2029333
5000,1,90121,302418,1146209,4458867,19356796
5000,2,66048,173666,606788,2340334,10360974
5000,4,62270,164112,571588,2206780,10270267
5000,8,694351,684376,1190637,2939067,10705449
10000,1,174569,605627,2284290,8928724,36886637
10000,2,120774,343395,1216673,4662570,20969788
10000,4,121056,328685,1149961,4755083,20786693
10000,8,1229537,1312476,2319627,6433104,21475730
50000,1,868747,3084746,11341056,44598422,184884344
50000,2,593636,1747720,6179290,25463686,109311570
50000,4,588761,1624797,5741471,24271368,104794827
50000,8,5833960,6959984,11298606,32148325,110150541
